V1,V2,V3,V4
eOtu15,bOtu423,0.657142857,1
eOtu70,eOtu1007,0.741935484,1
bOtu1,bOtu203,0.714285714,1
bOtu1,eOtu169,0.676123404,1
bOtu1,bOtu3,0.771428571,1
bOtu1,bOtu103,-0.657142857,-1
bOtu1,bOtu76,0.771428571,1
bOtu1,bOtu553,-0.714285714,-1
bOtu1,bOtu386,0.657142857,1
bOtu1,eOtu980,-0.654653671,-1
bOtu1,bOtu99,0.714285714,1
bOtu1,bOtu1648,0.771428571,1
bOtu1,bOtu143,0.657142857,1
bOtu1,bOtu1483,0.657142857,1
bOtu1,bOtu467,0.714285714,1
bOtu1,eOtu1361,-0.654653671,-1
bOtu1,bOtu288,0.698253252,1
bOtu1,bOtu261,0.714285714,1
bOtu1,bOtu274,0.657142857,1
bOtu1,bOtu906,0.753702346,1
eOtu3,eOtu10,0.695608344,1
eOtu13,eOtu47,0.771428571,1
eOtu13,eOtu169,0.654653671,1
eOtu13,eOtu873,0.698253252,1
eOtu13,eOtu274,0.698253252,1
eOtu13,bOtu553,-0.666736691,-1
eOtu13,eOtu286,0.698253252,1
eOtu13,eOtu1361,-0.654653671,-1
eOtu13,eOtu1374,0.698253252,1
eOtu13,eOtu417,0.654653671,1
eOtu13,eOtu977,0.695725243,1
eOtu13,bOtu4674,-0.666736691,-1
bOtu13,bOtu48,0.657142857,1
bOtu13,bOtu40,0.714285714,1
bOtu13,bOtu158,0.771428571,1
bOtu13,bOtu183,0.657142857,1
bOtu13,bOtu679,0.666736691,1
bOtu13,bOtu441,0.657142857,1
bOtu13,bOtu157,0.676123404,1
bOtu13,bOtu9990,0.828571429,1
bOtu13,bOtu300,0.657142857,1
bOtu13,bOtu494,0.676123404,1
bOtu13,eOtu629,0.654653671,1
bOtu13,bOtu3908,0.695725243,1
bOtu55,eOtu307,0.654653671,1
bOtu55,bOtu57,0.771428571,1
bOtu55,bOtu54,0.714285714,1
bOtu55,bOtu128,0.714285714,1
bOtu55,bOtu95,0.714285714,1
bOtu55,bOtu640,0.771428571,1
bOtu55,bOtu392,0.654653671,1
bOtu55,bOtu984,0.771428571,1
bOtu55,bOtu1773,0.753702346,1
eOtu174,eOtu193,0.788893492,1
eOtu174,eOtu307,0.664211164,1
eOtu174,eOtu295,0.657142857,1
eOtu174,bOtu57,0.753702346,1
eOtu174,bOtu392,0.708447269,1
eOtu174,eOtu980,0.664211164,1
eOtu174,eOtu2260,0.698253252,1
eOtu174,bOtu1773,0.695608344,1
eOtu57,eOtu2751,0.654653671,1
eOtu57,eOtu264,0.771428571,1
eOtu8,bOtu348,0.654653671,1
eOtu22,eOtu168,0.657142857,1
eOtu22,eOtu347,0.714285714,1
eOtu2,eOtu12,0.657142857,1
eOtu2,eOtu286,0.654653671,1
eOtu2,bOtu2604,-0.657142857,-1
eOtu2,bOtu1773,-0.654653671,-1
eOtu193,bOtu124,-0.654653671,-1
eOtu193,bOtu95,0.657142857,1
eOtu193,eOtu980,0.664211164,1
eOtu193,eOtu2260,0.664211164,1
eOtu193,bOtu1773,0.654653671,1
bOtu7,bOtu368,0.771428571,1
bOtu7,bOtu541,0.714285714,1
bOtu7,bOtu490,0.657142857,1
bOtu7,bOtu1745,0.695725243,1
bOtu21,bOtu703,0.698253252,1
bOtu21,bOtu96,0.8196886,1
bOtu21,bOtu256,0.666736691,1
bOtu21,bOtu116,0.724713795,1
bOtu21,bOtu248,0.657142857,1
bOtu21,bOtu205,0.714285714,1
bOtu21,bOtu594,0.753702346,1
bOtu21,bOtu103,0.685994341,1
bOtu21,bOtu3601,0.753702346,1
bOtu21,bOtu1853,0.771428571,1
bOtu21,bOtu179,0.764705882,1
bOtu21,bOtu547,0.771428571,1
bOtu21,bOtu394,0.869656553,1
bOtu21,bOtu441,0.657142857,1
bOtu21,bOtu2315,0.676123404,1
bOtu21,bOtu263,0.771428571,1
bOtu21,bOtu106,0.657142857,1
bOtu21,bOtu1512,0.695725243,1
bOtu21,bOtu773,0.77005138,1
