SampleID,Climate,Geo_Region,Vegetation,net,Longitude,Latitude,Distance_from_equator,Elevation,MAT,TSEA,PSEA,MAP,Soil_C,Texture,Soil_N,pH
X2,Arid,Mid_latitude,Forest,Cluster1,-111.425,35.397,35.397,1829,10.7,0.9,40,357,3.060116,55.6577988,0.105640127,6.71
X3,Arid,Mid_latitude,Forest,Cluster1,-111.425,35.397,35.397,1829,10.7,0.9,40,357,0.379412,55.6577988,0.036431052,7.22
X4,Arid,Mid_latitude,Forest,Cluster1,-111.425,35.397,35.397,1829,10.7,0.9,40,357,0.173204,55.6577988,0.010165105,7.53
X5,Arid,Mid_latitude,Forest,Cluster1,-111.425,35.397,35.397,1829,10.7,0.9,40,357,0.465332,55.6577988,0.035300341,7.1
X7,Arid,Mid_latitude,Forest,Cluster1,-111.273,35.144,35.144,1797,10.9,0.9,40,393,2.407124,46.4850998,0.298156895,8.01
X8,Arid,Mid_latitude,Forest,Cluster1,-111.273,35.144,35.144,1797,10.9,0.9,40,393,1.255796,46.4850998,0.152076439,7.35
X9,Arid,Mid_latitude,Forest,Cluster1,-111.273,35.144,35.144,1797,10.9,0.9,40,393,1.066772,46.4850998,0.129677663,7.16
X10,Arid,Mid_latitude,Forest,Cluster1,-111.273,35.144,35.144,1797,10.9,0.9,40,393,1.01522,46.4850998,0.125361533,7.33
X11,Arid,Mid_latitude,Forest,Cluster1,-111.867,35.539,35.539,2112,8,1.3,36,469,4.847252,61.1595001,0.336708774,7.49
X12,Arid,Mid_latitude,Forest,Cluster1,-111.867,35.539,35.539,2112,8,1.3,36,469,4.039604,61.1595001,0.247714243,7.2375
X13,Arid,Mid_latitude,Forest,Cluster1,-111.867,35.539,35.539,2112,8,1.3,36,469,6.892148,61.1595001,0.386984523,7.61
X14,Arid,Mid_latitude,Forest,Cluster1,-111.867,35.539,35.539,2112,8,1.3,36,469,2.922644,61.1595001,0.16961231,7.19
X15,Arid,Mid_latitude,Forest,Cluster1,-111.867,35.539,35.539,2112,8,1.3,36,469,9.315092,61.1595001,0.302692376,6.66
X17,Continental,Mid_latitude,Forest,Cluster1,-112.136,35.385,35.385,2028,9.1,1.3,39,489,3.42098,56.4850998,0.288313657,7.02
X18,Continental,Mid_latitude,Forest,Cluster1,-112.136,35.385,35.385,2028,9.1,1.3,39,489,2.04626,56.4850998,0.188777217,7.13
X19,Continental,Mid_latitude,Forest,Cluster1,-112.136,35.385,35.385,2028,9.1,1.3,39,489,2.974196,56.4850998,0.317357877,7.56
X20,Continental,Mid_latitude,Forest,Cluster1,-112.136,35.385,35.385,2028,9.1,1.3,39,489,1.410452,56.4850998,0.144629113,7.16
X21,Arid,Mid_latitude,Grassland,Cluster1,-105.245,39.954,39.954,1688,9.5,1.4,42,428,4.142708,54.9967003,0.439726865,4.94
X22,Arid,Mid_latitude,Grassland,Cluster1,-105.245,39.954,39.954,1688,9.5,1.4,42,428,2.166548,54.9967003,0.277584541,6.1
X23,Arid,Mid_latitude,Grassland,Cluster1,-105.245,39.954,39.954,1688,9.5,1.4,42,428,2.252468,54.9967003,0.294472725,6.25
X24,Arid,Mid_latitude,Grassland,Cluster1,-105.245,39.954,39.954,1688,9.5,1.4,42,428,4.469204,54.9967003,0.518429254,5.48
X25,Arid,Mid_latitude,Grassland,Cluster1,-105.245,39.954,39.954,1688,9.5,1.4,42,428,5.122196,54.9967003,0.668128051,4.99
X26,Arid,Mid_latitude,Grassland,Cluster1,-105.243,39.958,39.958,1688,9.6,1.4,42,428,2.974196,55,0.293797048,5.8
X27,Arid,Mid_latitude,Grassland,Cluster1,-105.243,39.958,39.958,1688,9.6,1.4,42,428,3.730292,55,0.413760786,6.43
X28,Arid,Mid_latitude,Grassland,Cluster1,-105.243,39.958,39.958,1688,9.6,1.4,42,428,3.85058,55,0.362551864,6.14
