"","X210","X4","X33","M287","X220","X9","X416","X29","X212","X218","X22","X43","X401","X24","X396","X217","X205","X391","X12","X211","X5","X403","M97","X34","X50","X45","M94","X21","X46","X7","X214","X215","X25","X399","X201","M288","X48","X392","M98","X203","X405","X32","X17","X42","X19","X8","X207","X417","X208","X411","M95","X404","X397","X30","M96","X20","X47","X27","X418","X393","M92","M286","X204","X412","X400","M93","X44","M292","X38","X18","X11","X395","X36","X14","X10","M293","X419","X15","X398","X2","X26","X41","X40","X216","X49","M294","X413","X415","X209","M91","X420","M99","X37","X206","X13","X402","X394","X23","X35","X3","X202","X219","X28","X39","X414","X213"
"bOtu1",0.00185167137705877,0.00185172938297732,0.0117552929591334,0.00671603237472017,0.0016255899318301,0.00115845673415936,0.0104552276138069,0.0186227157297217,0.00152330175655734,0.00269554525678615,0.013423448793767,0.0134237540062242,0.0190649942987457,0.00692370350257942,0.0109518658734451,0.00102931304542403,0.00178946897508164,0.012066499821237,0.00504284184219921,0.000748008976107713,0.00848575448469926,0.01222589627567,0.00236915787206547,0.00783725195931299,0.009600264834892,0.00616801677700563,0.000738522135149551,0.0161198404298624,0.0120780805205368,0.0021010101010101,0.000482683721491493,0.00155094249582439,0.0144709423477657,0.00667203497066605,0.00500376222723853,0.00463551401869159,0.0228509654812495,0.00485670856041226,0.00170484026387962,0.00144497962208225,0.0131899800487697,0.00967338531705164,0.0101136405428267,0.0127717192417478,0.00611128980379543,0.00506176772503628,0.00056395615240915,0.0182688584603471,0.00181380585301196,0.00236529966259696,0.000242667960895791,0.00619827674283963,0.00564184481528056,0.00997997216470349,0.00043917435221783,0.00529761101363207,0.00538793103448276,0.00626255860683188,0.0231713757591761,0.0111272056887016,0.00361752053187329,0.00448604163304825,0.00263200128390307,0.00480353540205591,0.00690093814596915,0.00757984206019473,0.00793227778648691,0.00441521841240019,0.00816518066635382,0.00553661359441959,0.00388062459576827,0.00282303844855626,0.00817852908090359,0.00400108299990975,0.00539541538736698,0.0102239820341587,0.0255335478348142,0.00657624332100288,0.00467559455091203,0.0131987577639752,0.00910154355331108,0.012211052422332,0.0095017903967068,0.000587429018993538,0.0153320556620282,0.020638104921817,0.00869044051543302,0.0080864670595386,0.000554002004959637,0.00118480292777968,0.0150145428818489,0.00558500323206206,0.013389441469013,0.000322348682089811,0.00539737558801684,0.00741342790995517,0.00871685903317719,0.015859346968066,0.0105049540408261,0.00353705872895565,0.00280638225642186,0.000311679059619752,0.00942273920350473,0.0101594601726543,0.0035216765262044,0.00621492215492913
"bOtu10",0.000194912776532502,0,0.00966272772033481,0.000746225819413352,0,0,0,0.00074690036349151,4.76031798924168e-05,0,0.00530367032760725,0.000743183612801338,0.00123147092360319,0.00316770748484026,0.000540832882639265,0,4.47367243770411e-05,0.000134072220235967,8.92538379150304e-05,0,0,0.00191437521754264,0,0.00341837585459396,0.000496565422494414,0.000657921789547268,0,0.00232028006187413,0.000406669377795852,4.04040404040404e-05,0,0,0.000231535077564251,0.000191725142835231,0.000150489089541008,0.00157009345794393,0,0.000259518778037297,0.000259432214068638,0,0.00306657799453188,0.0026114462262763,0.000183884373505939,0.000768498865549294,7.14770737286015e-05,7.07939541963116e-05,0,0,3.48808817886916e-05,0,0,0.0016347103497599,0.000611766305271386,0.00190094707899114,0.000472956994696125,0.00084356863274396,0.000202047413793103,0.00227729403884796,0,0.000263365815117198,0.00042367357580498,0.00267871550750363,0.000545658802760392,3.20235693470394e-05,0.000636031165527111,0.000380577844026514,0.000752469039034331,0.00206669798027243,0.000719536993586735,0.000688166661453283,0,6.13704010555709e-05,0.00173299686844426,0.00033091663909028,0.000685605270217903,0.00446191123456061,0,5.871645822324e-05,0.00101015931655507,0,0.00236811321293047,0.000851933889930141,0.000733075816956608,0,0.000972141210454684,0.0031877765258732,5.44855204729343e-05,5.28527258793372e-05,2.63810478552208e-05,0,5.2406781437518e-05,0,0.0011731701096659,0,7.42758108442684e-05,0.00169942367371065,0.000313903510890037,0.00696088984571224,0.00241136445028053,0.000413422448838972,0.000384745954509449,0,0.00128406065298261,0.00107437704979832,0,0.00068173890985192
"bOtu1001",0,0,0.000123092072870507,5.74019861087194e-05,0,0.000251838420469427,0,0.000398346860528805,0,0,0.000375481085140336,0.000139346927400251,0,9.05059281382931e-05,9.01388137732107e-05,0,8.94734487540822e-05,0,4.46269189575152e-05,0,0.00114315863524446,0.000174034110685694,0.000129226793021753,0.000208437552109388,0.000124141355623603,0.000328960894773634,0,4.07066677521778e-05,0.000203334688897926,0.000121212121212121,0,0,3.85891795940418e-05,0,3.76222723852521e-05,7.47663551401869e-05,0.000260940878252442,0.000111222333444556,0.000148246979467793,0,7.38934456513707e-05,0.000220685596586729,0.000367768747011879,7.31903681475518e-05,0.00046460097923591,0.00042476372517787,0,7.04002252807209e-05,0,0.000104351455702807,0,0,0.000169935084797607,0.000509182253301198,0,0,6.73491379310345e-05,0,0.000297068919989438,0,3.25902750619215e-05,3.22736808132968e-05,0,0.0013770134819227,6.36031165527111e-05,9.51444610066284e-05,0.000156764383132152,6.26272115234069e-05,0.000281557954012201,0,0.000800763805475992,0,0.000121613815329421,0,0,5.90981620471603e-05,0.000708445257844555,0.0002935822911162,0.000144308473793581,0.000201288244766506,0.000399440782903934,0.000170386777986028,0.000366537908478304,0,0.000333305557870178,5.49616642391932e-05,0.00076279728662108,0.000343542718215692,0,0.000131644769753298,0.000157220344312554,0.000517129928894635,0,0,0.000148551621688537,4.92586572090045e-05,9.6585695658473e-05,0.000454491089582586,0.000143249373283992,2.29679138243873e-05,0,0,0.000283248673452046,0.000640856485844611,0.000416355845462589,0.000126835146018962
"bOtu1003",0.000292369164798753,0,0,5.74019861087194e-05,0,0.000151103052281656,5.00250125062531e-05,9.95867151322014e-05,4.76031798924168e-05,4.7290267662915e-05,0,4.64489758000836e-05,0,0,0,0.000134258223316178,0.000134210173131123,0,0,0.000308003696044353,0.000263805838902568,4.35085276714236e-05,0.00038768037906526,0.000125062531265633,4.13804518745345e-05,8.22402236934084e-05,0.00024617404504985,4.07066677521778e-05,0.000122000813338756,0.000727272727272727,0.000120670930372873,0.000238606537819136,0,0.000383450285670463,0.000150489089541008,0,0.000223663609930664,0,0.00044474093840338,3.70507595405706e-05,7.38934456513707e-05,3.67809327644549e-05,7.35537494023758e-05,0.000146380736295104,0.000571816589828812,0.00042476372517787,0.000317225335730147,0,0.000244166172520841,0.000173919092838012,0.000104000554669625,3.4056465619998e-05,0.000203922101757129,0.000203672901320479,0,0.000269941962478067,0,0.000167448091091762,0,6.58414537792995e-05,3.25902750619215e-05,6.45473616265935e-05,0.000224683036430749,0.000224164985429276,0.000445221815868978,3.17148203355428e-05,9.40586298792914e-05,0,0.000187705302674801,0.000750727267039945,0.000307986079029228,0,9.12103614970661e-05,0.000210583315784724,0.000208662473544579,2.95490810235802e-05,2.95185524101898e-05,0.00026422406200458,0.000288616947587162,0.000230043708304578,0.000114125937972553,0,0.000140976118645501,0.000139864052141319,2.77754631558481e-05,0,8.17282807094015e-05,0.000317116355276023,0.000158286287131325,2.63289539506595e-05,0,0.000336134453781513,7.65110941086457e-05,4.9592104936894e-05,0.000544689279524635,0,0,0.00016744408563569,0.000143249373283992,2.29679138243873e-05,0.000407378069480593,0.000267153479674073,5.66497346904092e-05,7.53948806876013e-05,1.73481602276079e-05,0.000206107112280813
"bOtu1006",0,0.000529065537993519,6.15460364352536e-05,0,0.000943890928159413,0,0,4.97933575661007e-05,0.000523634978816585,0.00056748321195498,9.3870271285084e-05,9.28979516001672e-05,0.000273660205245154,0,9.01388137732107e-05,0.00098456030431864,0.000447367243770411,4.46907400786557e-05,0,0.00101201214414573,4.39676398170946e-05,4.35085276714236e-05,0.000344604781391342,8.33750208437552e-05,4.13804518745345e-05,0.000205600559233521,0.000287203052558159,0,4.06669377795852e-05,0,0.00124693294718636,0.0015111747395212,0,0,0.00112866817155756,0,7.45545366435548e-05,0.000222444666889111,7.41234897338967e-05,0.000815116709892553,7.38934456513707e-05,0.000110342798293365,0,0.000109785552221328,0,3.53969770981558e-05,0.000881181488139297,7.04002252807209e-05,0.000662736753985141,6.95676371352047e-05,0.000728003882687374,0.00017028232809999,0,0.00010183645066024,0.000202695854869768,0.000236199217168309,6.73491379310345e-05,6.69792364367046e-05,0.000132030631106417,0.000296286542006847,0,0,0.000962927298988926,0,0,3.17148203355428e-05,0.000125411506505722,0,0.000281557954012201,6.25606055866621e-05,3.07986079029228e-05,0.000214796403694498,3.04034538323554e-05,0,0.000268280323128745,0,5.90371048203796e-05,2.935822911162e-05,0,0,8.55944534794145e-05,0.000113591185324019,5.63904474582006e-05,0.000363646535567428,8.33263894675444e-05,0,0,0,0.000395715717828312,0.000421263263210553,0.00026203390718759,0.00015513897866839,5.10073960724305e-05,0.000272756577152917,2.47586036147561e-05,0.000394069257672036,9.6585695658473e-05,2.39205836622414e-05,0,2.29679138243873e-05,0.00108634151861491,0.000935037178859255,9.44162244840153e-05,3.76974403438007e-05,0,0.000634175730094809
"bOtu1009",0,0,0,0,0.000157315154693235,5.03676840938854e-05,0,4.97933575661007e-05,4.76031798924168e-05,0,0,0,0,0,4.50694068866054e-05,0.000313269187737749,0,0,8.92538379150304e-05,0,0.000131902919451284,0,0.000172302390695671,0,0,0,0,0,0,0.000727272727272727,0.000160894573830498,3.97677563031894e-05,0,3.83450285670463e-05,0.000150489089541008,0,0,0,0.000148246979467793,0,0,0,0.000588429995219006,0,0.000357385368643008,0.000672542564864961,0,0,0,6.95676371352047e-05,0,0,0,0,0,0.00188959373734647,0,3.34896182183523e-05,0,0,0,0,0,0,6.36031165527111e-05,0,0,0,0,0.000750727267039945,0.000708367981767224,0,0,0.000571583285701393,0.000745223119802069,0,0,0.00026422406200458,0,0.000287554635380722,0,0,0,0,0,0,0,0,2.63810478552208e-05,0,0,0.000180995475113122,0,7.43881574053411e-05,0.00126268878435256,0,0,2.39205836622414e-05,0,0.000367486621190197,9.05284598845762e-05,8.90511598913576e-05,0,0,0,0.000110980752766592
"bOtu101",0.000584738329597505,0.000529065537993519,0.00135401280157558,0.00189426554158774,0.000471945464079706,0.000251838420469427,0.000200100050025013,0.00293780809639994,0.000999666777740753,0.00122954695923579,0.00154885947620389,0.00213665288680385,0.00132269099201824,0.00199113041904245,0.000856318730845502,0.00049228015215932,0.000984207936294904,0.00129603146228102,0.000133880756872546,0.00198002376028512,0.00206647907140345,0.00361120779672816,0.000861511953478355,0.00087543771885943,0.000868989489365224,0.00180928492125499,0.000328232060066467,0.00130261336806969,0.00101667344448963,0.000242424242424242,0.00136760387755923,0.000914658394973356,0.00189086980010805,0.000843590628475018,0.00131677953348382,0.00186915887850467,0.00070826809811377,0.00292885478070663,0.00066711140760507,0.00133382734346054,0.00284489765757777,0.000882742386346918,0.000919421867529697,0.00351313767108249,0.000285908294914406,0.000637145587766805,0.000986923266716013,0.00080960259072829,0.000837141162928599,0.00118264983129848,0.00110933924980933,0.00282668664645983,0.000985623491826123,0.00186700159543773,0.000371609067261241,0.000539883924956134,0.000303071120689655,0.0014065639651708,0.00112226036440454,0.00240321306294443,0.00117324990222917,0.00316282071970308,0.00115551275878671,0.000672494956287828,0.000826840515185244,0.0024420411658368,0.00206928985734441,0.000594958509472366,0.00162677928984827,0.000437924239106635,0.000677569373864301,0.00199453803430605,0.0011553312456295,0.000571583285701393,0.000506751721465407,0.00147745405117901,0.00126929775363816,0.00046973166578592,0.00101015931655507,0.00077639751552795,0.00094153898827356,0.00227182370648038,0.000874051935602109,0.000839184312847912,0.000777712968363747,0.000192365824837176,0.00133489525158689,0.00116275996934542,0.00168838706273413,0.000895184434322424,0.000917118675156565,0.00134453781512605,0.00048457026268809,0.00141337499070148,0.000618965090368903,0.00246293286045022,0.00427391703288743,0.00186580552565483,0.00138474394174525,0.000551229931785296,0.00178793708272038,0.000957299968832094,0.00118964442849859,0.000998982169110717,0.000572489287511059,0.000951263595142214
"bOtu1015",9.74563882662509e-05,0,0.000246184145741014,0.000344411916652316,0.00146827477713686,5.03676840938854e-05,0,4.97933575661007e-05,0.000238015899462084,9.45805353258299e-05,9.3870271285084e-05,4.64489758000836e-05,0.000136830102622577,0,0,0.000447527411053927,8.94734487540822e-05,0,4.46269189575152e-05,0.000704008448101377,0.000131902919451284,0,0.000732285160456601,0,4.13804518745345e-05,8.22402236934084e-05,0.00024617404504985,0,0.000122000813338756,0.000848484848484849,0.000321789147660995,0.000477213075638272,0,3.83450285670463e-05,7.52445447705041e-05,3.73831775700935e-05,0.00014910907328711,0,0.00044474093840338,0,0,0.000110342798293365,0.000625206869920194,3.65951840737759e-05,0.00114363317965762,0.000743336519061272,0.000916428747664869,0,0.00087202204471729,0.000800027827054854,0,0,3.39870169595215e-05,0.000169727417767066,0,0.00020245647185855,3.36745689655172e-05,0.000468854655056932,0,3.29207268896497e-05,3.25902750619215e-05,0.000322736808132968,9.62927298988926e-05,3.20235693470394e-05,0,0.000126859281342171,0.000156764383132152,0,0.000250273736899734,0.00115737120335325,0.000677569373864301,0,0.000152017269161777,0.0011130832405764,0.00131159269085164,0,0,0.00023486583289296,0,5.75109270761445e-05,5.70629689862764e-05,0,5.63904474582006e-05,0.000391619345995692,0.000222203705246785,0,2.72427602364672e-05,0.000105705451758674,0.000158286287131325,0,0,0,0.000153022188217291,0.000198368419747576,0.00113889576627878,0,0,0.000310967587609138,0.000286498746567984,0.000114839569121937,0.000203689034740296,0.000311679059619752,7.55329795872123e-05,0.000150789761375203,0,0.000364651044804515
"bOtu1021",0,0,0.000123092072870507,0.000401813902761036,0,0.000251838420469427,5.00250125062531e-05,0.000298760145396604,4.76031798924168e-05,0.00018916107065166,4.6935135642542e-05,0.000232244879000418,0,0.000226264820345733,0,0,0,8.93814801573114e-05,0,4.40005280063361e-05,0.000131902919451284,4.35085276714236e-05,0.00038768037906526,8.33750208437552e-05,0.000165521807498138,0.000205600559233521,0,4.07066677521778e-05,0.000162667751118341,4.04040404040404e-05,4.02236434576244e-05,3.97677563031894e-05,0.000270124257158293,3.83450285670463e-05,7.52445447705041e-05,0.000186915887850467,0.000260940878252442,0.000111222333444556,0.00022237046920169,0,0,7.35618655289098e-05,0.000220661248207127,0,3.57385368643008e-05,7.07939541963116e-05,0,0,0,6.95676371352047e-05,0,0,0,3.39454835534132e-05,0,0.000134970981239034,6.73491379310345e-05,0.000267916945746818,3.30076577766042e-05,0,9.77708251857646e-05,0.000548652573826045,0,0.000128094277388158,0,0.000412292664362056,0.000250823013011444,0,0.000125136868449867,6.25606055866621e-05,0,0,0.000334437992155909,6.01666616527782e-05,2.98089247920827e-05,0.000147745405117901,0,0,0.000144308473793581,2.87554635380722e-05,5.70629689862764e-05,0.000340773555972057,0.000112780894916401,2.79728104282637e-05,0.000222203705246785,0,0.00019069932165527,0.000132131814698343,5.27620957104416e-05,2.63289539506595e-05,0,0.000620555914673562,0.000127518490181076,0,4.95172072295123e-05,0,0,0.000382729338595862,4.7749791094664e-05,0,0,0.000133576739837036,0.000132182714277621,0.000169638481547103,3.46963204552157e-05,0.000126835146018962
"bOtu1022",0,0,0.000369276218611521,0.000287009930543597,5.24383848977451e-05,0.000100735368187771,0,0.000199173430264403,0,0,0.000375481085140336,0.000371591806400669,4.56100342075257e-05,0.00013575889220744,0.000135208220659816,0,0,0,0,4.40005280063361e-05,0,4.35085276714236e-05,4.30755976739177e-05,8.33750208437552e-05,0.000289663163121741,0.000575681565853859,0,4.07066677521778e-05,0.000122000813338756,4.04040404040404e-05,0,0,0,0.000115035085701139,3.76222723852521e-05,0.000448598130841121,7.45545366435548e-05,3.70741111481852e-05,0.000111185234600845,0.000111152278621712,0,3.67809327644549e-05,0,0.000146380736295104,0,0,0,0,0,3.47838185676024e-05,6.93337031130833e-05,0,3.39870169595215e-05,0.000407345802640959,3.37826424782946e-05,3.37427453097584e-05,6.73491379310345e-05,0.00043536503683858,0,0,0.000130361100247686,0.000355010488946264,3.20975766329642e-05,3.20235693470394e-05,0.000127206233105422,6.34296406710856e-05,0.000909233422166484,3.13136057617035e-05,0.000281557954012201,0,0,0,0.00045605180748533,3.00833308263891e-05,0,0,2.95185524101898e-05,0,0.000144308473793581,8.62663906142167e-05,5.70629689862764e-05,0.00048276253762708,0.000394733132207404,0,8.33263894675444e-05,0,0,2.64263629396686e-05,0,0,0,0.000103425985778927,0.000127518490181076,0,0,0,0,0.000980743930151896,0.000190999164378656,2.29679138243873e-05,0.000135792689826864,0,0.000226598938761637,0.000131941041203302,3.46963204552157e-05,0.000206107112280813
